batch_size,batch_number,data_type,time,,
1,2,Image,107.51,,
1,2,TFRecord,94.94,,
1,3,Image,73.27,,
1,3,TFRecord,67.56,,
1,4,Image,55.23,,
1,4,TFRecord,54.05,,
1,5,Image,47.21,,
1,5,TFRecord,45.56,,
1,6,Image,41.87,,
1,6,TFRecord,42.22,,
1,7,Image,38.24,,
1,7,TFRecord,39.43,,
1,8,Image,35.96,,
1,8,TFRecord,37.14,,
1,9,Image,34.46,,
1,9,TFRecord,35.94,,
3,2,Image,42.69,,
3,2,TFRecord,41.23,,
3,3,Image,30.78,,
3,3,TFRecord,29.27,,
3,4,Image,25.06,,
3,4,TFRecord,24.32,,
3,5,Image,20.41,,
3,5,TFRecord,20.22,,
3,6,Image,17.48,,
3,6,TFRecord,17.48,,
3,7,Image,15.71,,
3,7,TFRecord,16.06,,
3,8,Image,14.28,,
3,8,TFRecord,14.76,,
3,9,Image,13.49,,
3,9,TFRecord,14.08,,
4,2,Image,32.18,,
4,2,TFRecord,31.01,,
4,3,Image,22.46,,
4,3,TFRecord,21.41,,
4,4,Image,17.89,,
4,4,TFRecord,17.26,,
4,5,Image,14.64,,
4,5,TFRecord,14.51,,
